ID,Treatment,Gradient,Pop,Population,Genotype,EarlyGrowth,Specific_Leaf_Area (SLA),Stomata,Flowering,Growth,Runnering,Elevation,Nheight,Slope,North_to_South
TC12_11,Wet,Montoulieu,TC,Tournac,TC12,4.485,62.66,24,0.465,14.139,3.607,1021,0.535,25.54,80.538
TC01_14,Wet,Montoulieu,TC,Tournac,TC01,3.313,45.731,28,1.78,6.935,3.605,1021,0.535,25.54,80.538
TP09_15,Wet,Sourroque,TP,Toupi,TP09,3.025,61.453,19,2.644,8.045,3.605,1184,0.985,8.623,119.055
PN10_07,Normal,Axat,PN,Paounias,PN10,3.523,47.95,23,1.563,5.55,3.604,909,0.186,16.179,113.962
LC10_06,Normal,Sourroque,LC,Lacourt,LC10,3.557,59.566,26,2.146,5.571,3.59,489,0.211,6.063,146.31
SQ15_13,Wet,Sourroque,SQ,Sourroque,SQ15,3.299,50.16,21,3.581,6.135,3.586,927,0.236,23.743,33.158
F09_07,Normal,Grave,F,Freaux,F09,2.995,46.898,23,1.001,3.35,3.582,1409,0.194,29.362,9.545
LC01_11,Wet,Sourroque,LC,Lacourt,LC01,3.856,65.34,21,3.582,8.67,3.576,489,0.211,6.063,146.31
AT17_09,Normal,Sourroque,AT,Ates,AT17,2.972,64.104,24,2.612,4.475,3.575,750,0.422,13.803,6.34
TP01_12,Wet,Sourroque,TP,Toupi,TP01,3.638,45.841,29,1.468,6.442,3.57,1184,0.985,8.623,119.055
F05_07,Normal,Grave,F,Freaux,F05,3.041,54.043,17,1.347,3.081,3.57,1409,0.194,29.362,9.545
F01_08,Normal,Grave,F,Freaux,F01,3.021,51.547,17,0.791,4.204,3.568,1409,0.194,29.362,9.545
TP13_03,Dry,Sourroque,TP,Toupi,TP13,3.015,48.228,21,0.268,1.684,3.563,1184,0.985,8.623,119.055
TC11_15,Wet,Montoulieu,TC,Tournac,TC11,3.039,60.298,17,0.153,4.211,3.562,1021,0.535,25.54,80.538
AT02_06,Normal,Sourroque,AT,Ates,AT02,3.989,63.22,21,4.441,6.457,3.562,750,0.422,13.803,6.34
SQ09_10,Normal,Sourroque,SQ,Sourroque,SQ09,3.437,64.582,20,1.828,4.218,3.556,927,0.236,23.743,33.158
AT04_04,Dry,Sourroque,AT,Ates,AT04,3.309,44.59,25,1.508,1.688,3.555,750,0.422,13.803,6.34
AT11_06,Normal,Sourroque,AT,Ates,AT11,3.06,49.995,22,1.948,2.537,3.547,750,0.422,13.803,6.34
TP08_13,Wet,Sourroque,TP,Toupi,TP08,2.747,48.577,18,2.498,4.81,3.534,1184,0.985,8.623,119.055
SQ07_07,Normal,Sourroque,SQ,Sourroque,SQ07,3.504,47.431,25,2.653,4.811,3.534,927,0.236,23.743,33.158
TP01_11,Wet,Sourroque,TP,Toupi,TP01,3.417,58.293,21,3.04,7.925,3.533,1184,0.985,8.623,119.055
TP02_01,Dry,Sourroque,TP,Toupi,TP02,3.176,46.77,18,2.166,1.984,3.528,1184,0.985,8.623,119.055
G10_01,Dry,Grave,G,Grave,G10,3.386,53.605,15,0,1.704,3.521,1471,0.075,8.946,3.576
TP11_08,Normal,Sourroque,TP,Toupi,TP11,2.858,65.432,23,3.085,3.981,3.517,1184,0.985,8.623,119.055
SQ10_08,Normal,Sourroque,SQ,Sourroque,SQ10,3.546,54.74,26,2.53,5.142,3.501,927,0.236,23.743,33.158
G07_06,Normal,Grave,G,Grave,G07,2.785,43.956,20,0.843,3.719,3.496,1471,0.075,8.946,3.576
G04_07,Normal,Grave,G,Grave,G04,3.235,51.586,18,2.076,3.734,3.482,1471,0.075,8.946,3.576
G07_12,Wet,Grave,G,Grave,G07,3.679,50.682,17,0.967,8.335,3.479,1471,0.075,8.946,3.576
TP04_10,Normal,Sourroque,TP,Toupi,TP04,3.811,55.83,23,2.025,5.782,3.459,1184,0.985,8.623,119.055
G01_12,Wet,Grave,G,Grave,G01,4.17,45.745,23,1.258,8.675,3.458,1471,0.075,8.946,3.576
AT12_09,Normal,Sourroque,AT,Ates,AT12,3.513,57.988,19,1.444,4.927,3.45,750,0.422,13.803,6.34
